Value,Designator,Footprint
330nF,C10,Capacitor_SMD:C_0805_2012Metric
1pF,C5,Capacitor_SMD:C_0805_2012Metric
100nF,"C6,C7,C8,C11",Capacitor_SMD:C_0805_2012Metric
1uF,C9,Capacitor_SMD:CP_Elec_4x5.4
PJ-202A,J2,digikey-footprints:Barrel_Jack_5.5mmODx2.1mmID_PJ-202A
22-23-2021,J3,digikey-footprints:PinHeader_1x2_P2.54mm_Drill1.02mm
SFH_213,PV1,digikey-footprints:Photodiode_5mm_Radial
BD681,Q1,KA7812:TO245P780X300X1364-3
5.6K,R10,Resistor_SMD:R_0805_2012Metric
4.7M,R5,Resistor_SMD:R_0805_2012Metric
47,R6,Resistor_SMD:R_0805_2012Metric
20K,R7,Resistor_SMD:R_0805_2012Metric
5,R8,Resistor_SMD:R_0805_2012Metric
Teensy3.6,U2,Teensy:Teensy35_36
OPA320AIDBVT,U3,OPA320AIDBVT:SOT95P280X145-5N
KA7812ETU,U4,KA7812:TO220V
